# ELektron2 ROCm/HIP Simulation Results
# Date: 2026-03-11 22:32:31
# Integrator: DP853 (ROCm/HIP, GPU: AMD Instinct MI300X VF)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Kernel time: 787949 ms
# Total time: 788022 ms
# Total simulations: 100000
# Detected: 3608
# Detected ratio: 3.6080000000000001%
# Detector: 100mm x 100mm at 1m
# startEnergy: 4990 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
# Summary: isNaN=28 isPos=3179 isNeg=120 xyEscape=96673
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps apexCharge exitCode dxZERO_reduced psi0 xDet_mm yDet_mm
#
21 -453.99686607642269 5.2061806547400121e-17 14664.010767625674 -454.73081242876913 6.7137354201305278e-17 14664.493129341274 0.0013820668419444603 -3.2039420628724514e-23 0.13872957357183396 -0.54922091687835151 9.4009848560551036e-17 -0.83567720006392987 4990 4989.9651726901848 91.773307351276415 1198982 60.250684017878264 0 3.4201803942450547e-11 4.570467135048343 9.9623087302926656 -2.3094874296672262e-19
22 819.34012817666371 3.0213757557838592e-16 14663.998444818595 819.71041823191877 3.3963492695183886e-16 14663.031258313837 0.0036601197615963245 9.7065413279824009e-22 0.13868768843158355 0.93389602625103174 -7.0400671727895114e-17 0.35754470198498933 4990 4989.9301088633911 86.801965709643923 1198692 22.089836023688591 0 -8.6576194497193965e-12 2.900229667078404 26.391093564169608 6.9988485912149051e-18
23 823.49515585672486 5.9850994977196291e-19 6361.7208090176337 823.38066532747996 -5.1419157428625736e-17 6362.6738159130255 0.005264111754556499 -1.2298721909272069e-22 0.13864683639970482 -0.99286084499471772 7.7075731838741874e-17 -0.11927842643805314 4990 4990.7152650185735 82.624341232138164 860072 59.428095506715749 5 -3.4156097776770491e-11 2.9938057676554926 37.967774031140507 -8.8705391544716511e-19
24 -800.21158294395468 6.5471925035957838e-17 14663.996355401991 -799.075289867077 -8.5345668402972436e-18 14664.068289135446 -0.0028266191000410126 2.32935663033543e-22 0.13870736205527942 -0.063179144584433522 -4.9436852779247148e-17 0.99800220212927349 4990 4989.9434366313344 93.123522128319479 1199423 64.229493948916556 0 5.1343821820680947e-11 3.1986301075461143 -20.378291809157989 1.679331648890493e-18
25 331.26080795392585 2.7895485030150396e-16 14664.009103482462 330.98053646051142 2.4054861086283593e-16 14664.902155668964 0.0066211585494372859 4.5353779422446439e-21 0.13857917172890558 -0.95411649910319918 8.5943638106315874e-17 -0.29943564382435389 4990 4990.0235414984554 88.705905149907707 1197589 28.185389900352913 0 -7.6116404369905499e-11 2.0541795432103056 47.778886731910013 3.2727702768471884e-17
26 -278.03674482530789 1.2700199693427269e-16 14663.997760797502 -277.50523731505439 1.5110064221997954e-16 14663.084902174773 0.0020108475135554378 -2.9125495183512295e-22 0.13872237274817736 0.86418790633738507 -7.5327963859020644e-17 0.50316922080036486 4990 4990.0008214119889 91.086226533280012 1197816 47.913338566849347 0 6.5183409382392529e-11 2.8465381943318966 14.495480964744802 -2.0995528411544537e-18
27 60.587183975732422 -1.5846990482408496e-17 14663.994591094186 61.426085210546695 -2.3771291124046284e-17 14663.294478430309 -0.0062247654367427897 -3.2461652324487711e-22 0.13859710290471058 0.64073963281665181 -7.8537692618584529e-17 0.76775824478739108 4990 4989.9914643523098 89.763272540796763 1197601 25.476191200916926 0 1.8968094316510792e-11 3.9222474774149441 -44.912666327682849 -2.3421595144601265e-18
28 -702.61352151500341 -1.0362517066700167e-17 14663.995209039187 -703.42406755207378 1.9819703145339468e-17 14664.30916758754 -0.0028750027318020358 3.9340955961457052e-23 0.1387066741833467 -0.36119299105354385 8.8227370615561167e-17 -0.93249108552929161 4990 4989.9658070643545 92.743183179393355 1199162 21.095115925726137 0 -6.964091772460171e-11 3.4049448639225162 -20.727212650212994 2.8362698617843711e-19
29 -823.49495334367771 6.7824931826180231e-17 3203.5703660867971 -823.33403679837602 -3.6190766004942558e-18 3204.567405562645 -0.0069130718189540823 5.0424413416260938e-22 0.13857439679581787 -0.98722497020433431 5.8732129705932468e-17 0.15933253828977814 4990 4990.71471077551 104.41607106709678 731162 55.881110938693581 5 2.6969001067379832e-11 5.6312841573816899 -49.88707855708823 3.6387972513103323e-18
30 -823.49526343395064 -2.662129027787333e-17 12587.672605208385 -823.07052342417774 5.6856191497666919e-18 12586.729865699159 -0.0059631576367137592 -1.7266446060863087e-22 0.13860810844196367 0.91173784140048808 -7.3006048700248292e-17 0.41077257794062971 4990 4989.9552508374854 93.743000365729841 1114692 20.952018705700151 5 -7.6789452604779231e-11 4.77664533000498 -43.021708497021891 -1.2457024523996507e-18
