# ELektron2 C++ Simulation Results
# Date: 2026-03-09 11:04:03
# Integrator: DP853 (self-contained)
# DP853 absTol: 9.9999999999999998e-13  relTol: 9.9999999999999998e-13  minStep: 1e-10  maxStep: 10
# Cores: 24
# Total time: 450289 ms
# Total simulations: 2400
# Detected: 80
# Detector: 1 m, 100 mm x 100 mm aperture
# startEnergy: 5000 eV
# startPos: -14663.993697025551 (reduced)
# detectionDistance: 14663.993697025551 (reduced)
# rangeMin: 9.9999999999999998e-13 m
# rangeMax: 1e-10 m
# spin: 1
# Z: 6
# alpha: 0.0072992700729926996
# reducedBohr: 274.49813790303745
# zitterRadius: 1.93079634e-13 m
# atomCount: 30
# atomSpacing: 735.44784117417589 (reduced) = 1.42e-10 m
# chainHalfLength: 10663.993697025551 (reduced)
# maxTime: 1000000 (reduced)
#
# Columns:
# idx qx qy qz rx ry rz vx vy vz ux uy uz energyIn_eV energyOut_eV angle_deg steps elapsedMs dxZERO_reduced psi0 xDet_mm yDet_mm
#
38 1257.9079409824349 -9.4651795645020927e-18 14664.011558801165 1258.4141665245838 1.7014694785249792e-17 14663.083873741931 0.0063334835087199039 -1.3967152494656222e-22 0.13872936731466837 0.87780983372441557 -7.4429700358305332e-17 0.47900928603554926 5000 5000.0000014004672 85.097057279968794 1198962 4997 -209.25816910088847 3.9772006570506724 45.653516853098495 -1.0067913351738773e-18
39 765.05727410931945 -9.5054420729163485e-18 14664.002717764031 764.93023747401298 -6.0683933572519067e-17 14664.955170407702 0.0022962330530831199 -1.1427421151485381e-22 0.13885487993932982 -0.99122204451566864 7.759812670682941e-17 -0.13220763702527419 5000 5000.0000014837506 87.013445339762299 1198057 5098 -239.01196857491439 0.34170974296054502 16.536927287585559 -8.229758404226333e-19
40 -685.06753622584301 -1.4308121418449399e-17 14663.995784043933 -685.18708046155439 5.2160483331889889e-17 14663.040355571873 -0.0012925703128689996 8.7283388807642692e-23 0.1388678495026763 0.99226308297337851 -4.4528147323777663e-17 -0.12415302220684907 5000 4999.9999999873771 92.674779811267257 1197737 4972 -185.18808915135293 3.9995602391106964 -9.3079162491393586 6.2853561224018623e-19
41 1135.3174978393088 -1.3367861813626536e-17 14664.002987425423 1136.1709617816864 -1.0805914238317354e-16 14664.688066753853 0.0068365597348166206 -1.848590040377877e-22 0.1387054859039798 -0.62598021175220131 -9.7883198370909124e-19 0.77983894139626764 5000 5000.0000013961553 85.572873587601691 1198979 5568 -335.25575618871267 5.6605692164499084 49.288315384651007 -1.3327447204630256e-18
42 -838.32901541302374 1.1309550753269158e-16 14664.012582084097 -837.66939588494938 2.0101989282299949e-17 14664.863510449817 -0.0051665209028098442 7.0645763391186612e-22 0.13877772668923438 -0.79034756944294449 1.8753695415740649e-17 0.61265872880318417 5000 4999.9999999239499 93.271989022234749 1197911 5332 -337.13110295822736 4.44089483953144 -37.228747192114334 5.0905692921014623e-18
43 977.82026598894379 3.7351624358495737e-16 14664.020215671451 978.53268358988169 2.8003681304621424e-16 14664.824093156598 0.0067211952477976289 2.2928036538421496e-21 0.13871112393644044 -0.74839784963638833 1.3590906702567013e-17 0.66325007242001177 5000 5000.0000015021315 86.185073586102632 1198371 5515 -378.80287990104409 1.4730342669816441 48.454623227459265 1.652934233949937e-17
44 703.86468049517407 -1.0074147818040856e-17 14664.012927698626 703.40337524432948 -3.0725859482926694e-17 14664.80280440258 0.0024604996387512039 -1.2836548606655511e-22 0.13885206628181279 -0.86352002131938776 9.2824685553517016e-17 -0.5043145572120934 5000 5000.0000014840907 87.251942772232084 1198085 5639 -335.52645874093832 5.1571185248494 17.720295452841139 -9.2447659947692659e-19
45 -311.69861721414702 3.7606012788619312e-17 14664.009010705406 -312.55251631524857 9.7369249332835796e-17 14663.887967536457 0.0023826419233407797 -6.167736888842678e-23 0.13885342406725379 0.14035038886098439 6.1440415679827342e-17 -0.99010189800121828 5000 4999.9999984677424 91.217697444307447 1197776 5478 375.11814661919982 0.13742859363490625 17.159403445368007 -4.4419047857655487e-19
46 -536.2978415497854 9.2821875923944047e-17 14664.015238198648 -536.26275357049281 2.9764084666312952e-17 14664.99948209063 0.00072907955396766448 -2.8478618415150596e-23 0.13887195106888664 -0.9993651545666481 6.7612180561081108e-17 0.035627046793072326 5000 4999.9999966104378 92.094509149357577 1197918 5050 42.495165650542646 4.682555459586661 5.2500130397534965 -2.0507106147751854e-19
47 502.2808776899904 -6.4586088266615255e-18 14664.007945988138 502.47927598303085 -7.9778496098982291e-17 14664.9967944649 -0.00029200067682262978 -6.0414950934945891e-23 0.13887355797610892 -0.98046063413136109 5.6424987301950765e-17 0.19671539235320989 5000 5000.0000015202859 88.038235679382765 1197788 5539 -290.86817882181145 4.3098544021799121 -2.1026369675994334 -4.3503566708746209e-19
48 -427.84171812415866 7.8545711587942056e-17 14664.014535278257 -428.34440340281549 1.5645328396919312e-16 14663.253086514207 0.001971768290863961 -2.0198537741386879e-22 0.13885986634215941 0.83454435463734467 -8.2683902117384145e-18 -0.55094076087257793 5000 4999.999996631429 91.67120487183756 1197854 5496 42.554105010591158 3.7149734740776212 14.199698896478846 -1.4545986737173157e-18
49 1141.2200020700711 -9.7175713295914219e-18 14663.995583109972 1140.3639873599136 4.9222644081062384e-17 14663.890031310209 0.0054141115247450453 -1.3782143997348442e-22 0.13876828803932767 0.1223792173689099 6.2907317706591489e-17 -0.99248341477116497 5000 5000.0000014228199 85.549946977221765 1198699 5135 -209.35292351293327 3.8153850108895511 39.015481139398773 -9.9317676913636852e-19
50 202.99282327905902 1.1570816532717631e-17 14663.999262386857 203.23924268867898 5.7347211432219764e-17 14663.018160191394 -0.0034143524401390301 -1.0174307652334974e-21 0.13883188596682855 0.96987585229006257 -6.5953723489422849e-17 0.24359973491201722 5000 5000.0000000346918 89.206908769661098 1197502 5169 446.48832183994517 0.54515665320884077 -24.593431230595179 -7.3285092840746585e-18
51 822.2503652378025 -6.6252578818898172e-18 14664.011320016862 823.08716094192346 -1.0158299686871032e-16 14664.717799086844 0.0024921046684182294 -1.0606817085620313e-22 0.13885150263376139 -0.64510170463786287 9.3722873773901318e-19 0.76409671533846546 5000 5000.0000015184705 86.790633037822531 1198093 5192 -176.98329431927738 0.34335240394262612 17.947984869789089 -7.6389645660494939e-19
